x,30,Call of Duty: Black Ops 2,2012,Treyarch,First-person Shooter,true
P,10,Tetris,1990,Alexey,Arcade,false
x,20,The Legend of Zelda,1986,Nintendo,Action-adventure,false
p,25,Fifa 2012,2011,EA Vancouver,Sports,false
w,19,Mario Kart,2008,Nintendo,Racing,false
w,9,Super Smash Bros,2010,Nintendo,PVP,false
g,15,Scribblenauts,2013,5th Cell,World-building,false
p,31,Battlefield 4,2014,DICE,First-person Shooter,true
p,20,Sly Cooper,2003,SuckerPunch,Adventure,false
w,120,Cooking Mama,2008,Home,false
x,40,Shawn White Snowboarding,2009,Sports,false
P,30,Super Mario Sunshine,2002,Arcade,true
